
Exhibit 4. Exports, Imports, and Trade Balance of Goods by Country and Area, Not Seasonally Adjusted: 2018

(X) Not applicable. (-) Represents zero or less than one-half unit of measurement shown.

                                                                                                    111111111111111111111111
         1111111111222222222233333333334444444444555555555566666666667777777777888888888999999999990000000000111111111122222
1234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234

                                                                                      Exports
                                            Balance                                 Domestic & Foreign,
                                          (Customs imports)                         F.A.S. basis   
Country                                   February      Year-to-Date  Rank          February      Year-to-Date  Rank
Unidentified (1)                                   (-)           (-)           (X)           (-)           (-)           (X)

Timing adjustment                                  (-)        -157.0           (X)           (-)         -42.6           (X)

Africa                                          -896.4      -2,450.0           (X)       1,683.7       3,415.8           (X)
APEC                                         -46,124.2    -105,032.5           (X)      79,789.8     159,167.2           (X)
ASEAN                                         -7,355.9     -15,422.3           (X)       6,201.8      12,686.1           (X)
Asia - South                                  -2,106.1      -5,077.6           (X)       2,846.8       5,458.8           (X)
Asia Near East                                  -353.2      -1,761.3           (X)       4,661.7       8,806.7           (X)
CAFTA-DR                                         556.9       1,175.4           (X)       2,574.7       4,945.1           (X)
Central American Common Market                   306.0         634.7           (X)       1,922.1       3,688.5           (X)
Euro Area                                    -10,926.1     -22,770.0           (X)      17,927.5      35,159.1           (X)
Europe                                       -13,580.5     -29,574.6           (X)      29,032.3      56,522.8           (X)
European Union                               -12,046.6     -25,663.6           (X)      24,974.7      48,235.0           (X)
LAFTA                                         -5,150.4      -9,792.7           (X)      27,798.3      57,322.9           (X)
NATO Allies                                   -7,055.8     -19,200.6           (X)      48,101.5      93,517.2           (X)
North America                                 -6,449.3     -14,289.3           (X)      43,758.3      88,128.4           (X)
OECD                                         -24,460.9     -54,184.0           (X)      85,708.8     170,212.9           (X)
OPEC                                          -1,367.5      -4,232.3           (X)       4,145.4       7,759.5           (X)
Pacific Rim Countries                        -34,838.1     -79,415.2           (X)      32,121.4      63,351.4           (X)
South/Central America                          3,055.5       4,478.9           (X)      12,265.9      24,201.0           (X)
Twenty Latin American Republics               -4,067.5      -7,579.6           (X)      31,004.2      63,497.3           (X)
______________

                                                                                      Imports
                                          Customs Basis                             C.I.F. Basis


Country                                   February      Year-to-Date  Rank          February      Year-to-Date  Rank

TOTAL                                        187,624.8     391,217.6           (X)     192,854.0     402,220.1           (X)

Afghanistan                                        1.6           6.3           145           1.6           6.5           146
Albania                                            6.4          12.2           131           6.6          12.6           131
Algeria                                          351.4         794.0            45         365.5         826.1            45
Andorra                                            1.0           3.0           159           1.0           3.0           159
Angola                                            65.6         208.2            73          67.9         214.0            74
Anguilla                                           0.2           1.8           166           0.2           1.9           167
Antigua and Barbuda                                0.4           0.5           192           0.4           0.6           192
Argentina                                        433.3         783.6            46         450.5         814.1            46
Armenia                                            4.1          12.3           130           4.3          12.8           130
Aruba                                              2.4           3.4           156           2.4           3.5           155
Australia*                                       603.5       1,451.4            35         619.2       1,487.4            35
Austria                                          909.9       1,808.9            30         934.5       1,853.5            31
Azerbaijan                                         1.1         119.0            84           1.1         123.5            84

Bahamas                                           27.6          50.0           105          30.2          54.1           103
Bahrain*                                          71.0         162.2            77          73.7         167.9            77
Bangladesh                                       504.7       1,057.8            41         523.5       1,096.3            41
Barbados                                           3.3           8.2           141           3.4           8.5           141
Belarus                                           40.5          65.4            93          43.5          70.4            92
Belgium                                        1,201.4       2,468.5            26       1,242.4       2,548.3            26
Belize                                             2.3           4.1           150           2.4           4.2           149
Benin                                              1.1           3.4           157           1.1           3.4           157
Bermuda                                            0.5           2.2           161           0.6           2.2           162
Bhutan                                             (-)           (-)           223           (-)           (-)           223
Bolivia                                           37.8          87.0            88          38.4          88.6            88
Bosnia and Herzegovina                            11.6          18.4           121          11.9          18.9           121
Botswana                                          15.4          58.8            98          15.8          59.9            99
Brazil                                         1,978.2       4,740.2            17       2,050.3       4,909.6            17
British Indian Ocean Territories                   (-)           (-)           221           (-)           (-)           221
British Virgin Islands                             1.8           4.1           149           1.9           4.2           150
Brunei                                             0.9           2.1           162           0.9           2.2           163
Bulgaria                                          56.1         130.2            80          58.3         135.1            80
Burkina Faso                                       1.1           1.3           175           1.1           1.3           176
Burma                                             31.9          64.9            94          33.0          67.2            94
Burundi                                            1.3           2.0           164           1.3           2.0           165

Cabo Verde                                         0.1           0.4           195           0.1           0.4           197
Cambodia                                         294.7         620.9            55         305.9         643.9            55
Cameroon                                          30.2          46.9           106          31.7          48.9           106
Canada**                                      23,919.6      50,191.3             3      24,475.1      51,449.3             3
Cayman Islands                                     1.8           3.7           152           1.9           3.8           152
Central African Republic                           0.2           0.5           193           0.2           0.5           193
Chad                                               0.1         131.3            79           0.1         135.3            79
